GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1281357164,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,072, Provide military aid,072,07,2,8.3,2,1,2,-2.77511961722488,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,13277,25.0478,121.532,-2637882,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229101500,https://www.9news.com.au/world/chinese-military-stages-drills-taiwan-to-warn/e23bd311-48e1-4157-9f85-1fb91b9703f8
1281357165,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,072, Provide military aid,072,07,2,8.3,6,1,6,-2.77511961722488,1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229101500,https://www.9news.com.au/world/chinese-military-stages-drills-taiwan-to-warn/e23bd311-48e1-4157-9f85-1fb91b9703f8
1281357166,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,072, Provide military aid,072,07,2,8.3,2,1,2,-2.77511961722488,1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Russia,RS,RS,,60.0,100.0,RS,20251229101500,https://www.9news.com.au/world/chinese-military-stages-drills-taiwan-to-warn/e23bd311-48e1-4157-9f85-1fb91b9703f8
1281367019,20251229,202512,2025,2025.9836,CHN,BEIJING,CHN,,,,,,,,RUS,MOSCOW,RUS,,,,,,,,1,043, Host a visit,043,04,1,2.8,8,1,8,2.50696378830084,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20251229114500,https://www.mirror.co.uk/travel/legendary-sleeper-train-connecting-3-36467283
1281365025,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,046, Engage in negotiation,046,04,1,7.0,1,1,1,-3.73333333333333,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,20251229113000,https://english.aawsat.com/business/5224146-oil-rises-investors-weigh-outcome-trump%E2%80%93zelenskiy-meeting
1281365026,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,046, Engage in negotiation,046,04,1,7.0,1,1,1,-3.73333333333333,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20251229113000,https://english.aawsat.com/business/5224146-oil-rises-investors-weigh-outcome-trump%E2%80%93zelenskiy-meeting
1281365739,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,046, Engage in negotiation,046,04,1,7.0,1,1,1,-3.73333333333333,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,20251229113000,https://english.aawsat.com/business/5224146-oil-rises-investors-weigh-outcome-trump%E2%80%93zelenskiy-meeting
1281365740,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,046, Engage in negotiation,046,04,1,7.0,1,1,1,-3.73333333333333,1,Russia,RS,RS,,60.0,100.0,RS,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,20251229113000,https://english.aawsat.com/business/5224146-oil-rises-investors-weigh-outcome-trump%E2%80%93zelenskiy-meeting
1281378721,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,013, Make optimistic comment,013,01,1,0.4,2,1,2,-5.12048192771084,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,20251229131500,https://tucson.com/opinion/letters/article_2eb7ca5e-7766-4e7f-a430-848a9a37ba2a.html
1281378722,20251229,202512,2025,2025.9836,CHN,CHINESE,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,013, Make optimistic comment,013,01,1,0.4,2,1,2,-5.12048192771084,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,1,Greenland,GL,GL,,72.0,-40.0,GL,20251229131500,https://tucson.com/opinion/letters/article_2eb7ca5e-7766-4e7f-a430-848a9a37ba2a.html
