product_id,product_sitc_code,product_level,product_name,product_name_short,product_parent_id,product_id_hierarchy,show_feasibility
1,0,1,Food and live animals chiefly for food,Food,,1,True
2,1,1,Beverages and tobacco,Beverages,,2,True
3,2,1,"Crude materials, inedible, except fuels",Crude materials,,3,True
4,3,1,"Mineral fuels, lubricants and related materials",Fuels,,4,True
5,4,1,"Animal and vegetable oils, fats and waxes",Vegetable oils,,5,True
6,5,1,"Chemicals and related products, nes",Chemicals,,6,True
7,6,1,Manufactured goods classified chiefly by materials,Material manufacturers,,7,True
8,7,1,Machinery and transport equipment,Machinery and vehicles,,8,True
9,8,1,Miscellaneous manufactured articles,Other manufacturers,,9,True
10,9,1,Commodities and transactions not classified elsewhere in the SITC,Unspecified,,10,False
100,00,2,Live animals chiefly for food,Live animals chiefly for food,1,1.100,True
101,01,2,Meat and preparations,Meat and preparations,1,1.101,True
102,02,2,Dairy products and birds' eggs,Dairy products and birds' eggs,1,1.102,True
103,03,2,"Fish, crustacean and molluscs, and preparations thereof","Fish, crustacean and molluscs, and preparations thereof",1,1.103,True
104,04,2,Cereals and cereal preparations,Cereals and cereal preparations,1,1.104,True
105,05,2,Vegetables and fruit,Vegetables and fruit,1,1.105,True
106,06,2,"Sugar, sugar preparations and honey","Sugar, sugar preparations and honey",1,1.106,True
107,07,2,"Coffee, tea, cocoa, spices, and manufactures thereof","Coffee, tea, cocoa, spices, and manufactures thereof",1,1.107,True
108,08,2,Feeding stuff for animals (not including unmilled cereals),Feeding stuff for animals (not including unmilled cereals),1,1.108,True
109,09,2,Miscellaneous edible products and preparations,Miscellaneous edible products and preparations,1,1.109,True
110,11,2,Beverages,Beverages,2,2.110,True
111,12,2,Tobacco and tobacco manufactures,Tobacco and tobacco manufactures,2,2.111,True
112,21,2,"Hides, skins and furskins, raw","Hides, skins and furskins, raw",3,3.112,True
113,22,2,Oil seeds and oleaginous fruit,Oil seeds and oleaginous fruit,3,3.113,True
114,23,2,Crude rubber (including synthetic and reclaimed),Crude rubber (including synthetic and reclaimed),3,3.114,True
115,24,2,Cork and wood,Cork and wood,3,3.115,True
116,25,2,Pulp and waste paper,Pulp and waste paper,3,3.116,True
117,26,2,Textile fibres (not wool tops) and their wastes (not in yarn),Textile fibres (not wool tops) and their wastes (not in yarn),3,3.117,True
118,27,2,Crude fertilizer and crude minerals,Crude fertilizer and crude minerals,3,3.118,True
119,28,2,Metalliferous ores and metal scrap,Metalliferous ores and metal scrap,3,3.119,True
120,29,2,"Crude animal and vegetable materials, nes","Crude animal and vegetable materials, nes",3,3.120,True
121,32,2,"Coal, coke and briquettes","Coal, coke and briquettes",4,4.121,True
122,33,2,"Petroleum, petroleum products and related materials","Petroleum, petroleum products and related materials",4,4.122,True
123,34,2,"Gas, natural and manufactured","Gas, natural and manufactured",4,4.123,True
124,35,2,Electric current,Electric current,4,4.124,True
125,41,2,Animal oils and fats,Animal oils and fats,5,5.125,True
126,42,2,Fixed vegetable oils and fats,Fixed vegetable oils and fats,5,5.126,True
127,43,2,"Animal and vegetable oils and fats, processed, and waxes","Animal and vegetable oils and fats, processed, and waxes",5,5.127,True
128,51,2,Organic chemicals,Organic chemicals,6,6.128,True
129,52,2,Inorganic chemicals,Inorganic chemicals,6,6.129,True
130,53,2,"Dyeing, tanning and colouring materials","Dyeing, tanning and colouring materials",6,6.130,True
131,54,2,Medicinal and pharmaceutical products,Medicinal and pharmaceutical products,6,6.131,True
132,55,2,Oils and perfume materials; toilet and cleansing preparations,Oils and perfume materials; toilet and cleansing preparations,6,6.132,True
133,56,2,"Fertilizers, manufactured","Fertilizers, manufactured",6,6.133,True
134,57,2,Explosives and pyrotechnic products,Explosives and pyrotechnic products,6,6.134,True
135,58,2,"Artificial resins and plastic materials, and cellulose esters etc","Artificial resins and plastic materials, and cellulose esters etc",6,6.135,True
136,59,2,"Chemical materials and products, nes","Chemical materials and products, nes",6,6.136,True
137,61,2,"Leather, leather manufactures, nes, and dressed furskins","Leather, leather manufactures, nes, and dressed furskins",7,7.137,True
138,62,2,"Rubber manufactures, nes","Rubber manufactures, nes",7,7.138,True
139,63,2,"Cork and wood, cork manufactures","Cork and wood, cork manufactures",7,7.139,True
140,64,2,"Paper, paperboard, and articles of pulp, of paper or of paperboard","Paper, paperboard, and articles of pulp, of paper or of paperboard",7,7.140,True
141,65,2,"Textile yarn, fabrics, made-up articles, nes, and related products","Textile yarn, fabrics, made-up articles, nes, and related products",7,7.141,True
142,66,2,"Non-metallic mineral manufactures, nes","Non-metallic mineral manufactures, nes",7,7.142,True
143,67,2,Iron and steel,Iron and steel,7,7.143,True
144,68,2,Non-ferrous metals,Non-ferrous metals,7,7.144,True
145,69,2,"Manufactures of metals, nes","Manufactures of metals, nes",7,7.145,True
146,71,2,Power generating machinery and equipment,Power generating machinery and equipment,8,8.146,True
147,72,2,Machinery specialized for particular industries,Machinery specialized for particular industries,8,8.147,True
148,73,2,Metalworking machinery,Metalworking machinery,8,8.148,True
149,74,2,"General industrial machinery and equipment, nes, and parts of, nes","General industrial machinery and equipment, nes, and parts of, nes",8,8.149,True
150,75,2,Office machines and automatic data processing equipment,Office machines and automatic data processing equipment,8,8.150,True
151,76,2,"Telecommunications, sound recording and reproducing equipment","Telecommunications, sound recording and reproducing equipment",8,8.151,True
152,77,2,"Electric machinery, apparatus and appliances, nes, and parts, nes","Electric machinery, apparatus and appliances, nes, and parts, nes",8,8.152,True
153,78,2,Road vehicles,Road vehicles,8,8.153,True
154,79,2,Other transport equipment,Other transport equipment,8,8.154,True
155,81,2,"Sanitary, plumbing, heating, lighting fixtures and fittings, nes","Sanitary, plumbing, heating, lighting fixtures and fittings, nes",9,9.155,True
156,82,2,Furniture and parts thereof,Furniture and parts thereof,9,9.156,True
157,83,2,"Travel goods, handbags and similar containers","Travel goods, handbags and similar containers",9,9.157,True
158,84,2,Articles of apparel and clothing accessories,Articles of apparel and clothing accessories,9,9.158,True
159,85,2,Footwear,Footwear,9,9.159,True
160,87,2,"Professional, scientific, controlling instruments, apparatus, nes","Professional, scientific, controlling instruments, apparatus, nes",9,9.160,True
161,88,2,"Photographic equipment and supplies, optical goods; watches, etc","Photographic equipment and supplies, optical goods; watches, etc",9,9.161,True
162,89,2,"Miscellaneous manufactured articles, nes","Miscellaneous manufactured articles, nes",9,9.162,True
163,91,2,Postal packages not classified according to kind,Postal packages not classified according to kind,10,10.163,True
164,93,2,"Special transactions, commodity not classified according to class","Special transactions, commodity not classified according to class",10,10.164,True
165,94,2,"Animals, live, nes, (including zoo animals, pets, insects, etc)","Animals, live, nes, (including zoo animals, pets, insects, etc)",10,10.165,True
166,95,2,"Armoured fighting vehicles, war firearms, ammunition, parts, nes","Armoured fighting vehicles, war firearms, ammunition, parts, nes",10,10.166,True
167,96,2,"Coin (other than gold coin), not being legal tender","Coin (other than gold coin), not being legal tender",10,10.167,True
168,97,2,"Gold, non-monetary (excluding gold ores and concentrates)","Gold, non-monetary (excluding gold ores and concentrates)",10,10.168,True
169,XX,2,Trade data discrepancies,Trade data discrepancies,10,10.169,False
650,0011,4,"Animals of the bovine species (including buffaloes), live","Animals of the bovine species (including buffaloes), live",100,1.100.650,True
651,0012,4,"Sheep and goats, live","Sheep and goats, live",100,1.100.651,True
652,0013,4,"Swine, live","Swine, live",100,1.100.652,True
653,0014,4,"Poultry, live","Poultry, live",100,1.100.653,True
654,0015,4,"Equine species, live","Equine species, live",100,1.100.654,True
655,0019,4,"Live animals of a kind mainly used for human food, nes","Live animals of a kind mainly used for human food, nes",100,1.100.655,True
656,0111,4,"Bovine meat, fresh, chilled or frozen","Bovine meat, fresh, chilled or frozen",101,1.101.656,True
657,0112,4,"Meat of sheep and goats, fresh, chilled or frozen","Meat of sheep and goats, fresh, chilled or frozen",101,1.101.657,True
