Country,Year,Variable,Unit,Value
Australia,2024,Fossil Fuel Consumption,Exajoules,5.088228583
Australia,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.069819438
Australia,2024,Carbon Intensity,tonne CO2-eq per Megajoule,80.42607974
Australia,2024,Energy Consumption per Capita,Gigajoules per capita,204.7733156
Australia,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,3.963455746
Australia,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.318765208
Australia,2024,Wind,Share of Generation Mix,0.116245689
Australia,2024,Solar,Share of Generation Mix,0.178292975
Australia,2024,Hydro,Share of Generation Mix,0.045625978
Australia,2024,Other Renewables,Share of Generation Mix,0.010602799
Australia,2024,Nuclear,Share of Generation Mix,0
Australia,2024,Gas,Share of Generation Mix,0.174335032
Australia,2024,Oil,Share of Generation Mix,0.018165829
Australia,2024,Coal ,Share of Generation Mix,0.452114595
Australia,2024,Other non-Renewable,Share of Generation Mix,0.004617102
Austria,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,61.18983663
Austria,1990,Fossil Fuel Consumption,Exajoules,0.853218824
Austria,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.128581333
Austria,1990,Carbon Intensity,tonne CO2-eq per Megajoule,62.49506527
Austria,1990,Energy Consumption per Capita,Gigajoules per capita,127.4951342
Austria,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,3.536779801
Austria,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.221031284
Austria,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,73.08965081
Austria,2008,Fossil Fuel Consumption,Exajoules,1.058090433
Austria,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.162213851
Austria,2008,Carbon Intensity,tonne CO2-eq per Megajoule,57.87170343
Austria,2008,Energy Consumption per Capita,Gigajoules per capita,151.7387763
Austria,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,2.94355462
Austria,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.17034852
Austria,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,64.82948659
Austria,2012,Fossil Fuel Consumption,Exajoules,0.958336964
Austria,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.199122869
Austria,2012,Carbon Intensity,tonne CO2-eq per Megajoule,54.17765775
Austria,2012,Energy Consumption per Capita,Gigajoules per capita,141.9195777
Austria,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,2.74071421
Austria,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.148485476
Austria,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,66.73358909
Austria,2017,Fossil Fuel Consumption,Exajoules,0.985290676
Austria,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.195327476
Austria,2017,Carbon Intensity,tonne CO2-eq per Megajoule,54.50034895
Austria,2017,Energy Consumption per Capita,Gigajoules per capita,139.1626979
Austria,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,2.631304336
Austria,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.143407004
Austria,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,54.7744072
Austria,2024,Fossil Fuel Consumption,Exajoules,0.821017116
Austria,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.266324613
Austria,2024,Carbon Intensity,tonne CO2-eq per Megajoule,48.94737649
Austria,2024,Energy Consumption per Capita,Gigajoules per capita,122.6915676
Austria,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,2.272457796
Austria,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.111230847
Azerbaijan,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,98.32730845
Azerbaijan,1990,Fossil Fuel Consumption,Exajoules,0.920334734
Azerbaijan,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.006443676
Azerbaijan,1990,Carbon Intensity,tonne CO2-eq per Megajoule,106.1502007
Azerbaijan,1990,Energy Consumption per Capita,Gigajoules per capita,128.1003585
Azerbaijan,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,16.59432567
Azerbaijan,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,1.761491001
Azerbaijan,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,44.4203308
Azerbaijan,2008,Fossil Fuel Consumption,Exajoules,0.521609234
Azerbaijan,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.015170933
Azerbaijan,2008,Carbon Intensity,tonne CO2-eq per Megajoule,83.86821037
Azerbaijan,2008,Energy Consumption per Capita,Gigajoules per capita,59.22686727
Azerbaijan,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,4.684967115
Azerbaijan,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.392919808
Azerbaijan,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,40.29288687
Azerbaijan,2012,Fossil Fuel Consumption,Exajoules,0.522351998
Azerbaijan,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.012394604
Azerbaijan,2012,Carbon Intensity,tonne CO2-eq per Megajoule,76.18133748
Azerbaijan,2012,Energy Consumption per Capita,Gigajoules per capita,56.40970846
Azerbaijan,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,4.044081155
Azerbaijan,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.308083511
Azerbaijan,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,41.12063454
Azerbaijan,2017,Fossil Fuel Consumption,Exajoules,0.582755998
Azerbaijan,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.012588296
Azerbaijan,2017,Carbon Intensity,tonne CO2-eq per Megajoule,69.67409263
Azerbaijan,2017,Energy Consumption per Capita,Gigajoules per capita,59.20497979
Azerbaijan,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,4.214920796
Azerbaijan,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.293670782
Azerbaijan,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,48.00204779
Azerbaijan,2024,Fossil Fuel Consumption,Exajoules,0.715266949
Azerbaijan,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.019088138
Azerbaijan,2024,Carbon Intensity,tonne CO2-eq per Megajoule,65.82965968
Azerbaijan,2024,Energy Consumption per Capita,Gigajoules per capita,70.54420911
Azerbaijan,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,4.476396368
Azerbaijan,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.29467965
Bangladesh,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,14.56257913
Bangladesh,1990,Fossil Fuel Consumption,Exajoules,0.256472722
Bangladesh,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.012256257
Bangladesh,1990,Carbon Intensity,tonne CO2-eq per Megajoule,56.08431145
Bangladesh,1990,Energy Consumption per Capita,Gigajoules per capita,2.325956136
Bangladesh,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,1.412442681
Bangladesh,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.079215875
Bangladesh,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,51.23647203
Bangladesh,2008,Fossil Fuel Consumption,Exajoules,0.792194489
Bangladesh,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.005134869
Bangladesh,2008,Carbon Intensity,tonne CO2-eq per Megajoule,64.34452848
Bangladesh,2008,Energy Consumption per Capita,Gigajoules per capita,5.327226616
Bangladesh,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,1.777571187
Bangladesh,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.11437698
Bangladesh,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,69.96886835
Bangladesh,2012,Fossil Fuel Consumption,Exajoules,1.052556477
Bangladesh,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.003451668
Bangladesh,2012,Carbon Intensity,tonne CO2-eq per Megajoule,66.24571705
Bangladesh,2012,Energy Consumption per Capita,Gigajoules per capita,6.811126946
Bangladesh,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,1.874740109
Bangladesh,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.124193503
Bangladesh,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,100.0291251
Bangladesh,2017,Fossil Fuel Consumption,Exajoules,1.437470622
Bangladesh,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.003637491
Bangladesh,2017,Carbon Intensity,tonne CO2-eq per Megajoule,69.33377798
Bangladesh,2017,Energy Consumption per Capita,Gigajoules per capita,8.895448523
Bangladesh,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,1.872112631
