Year,HS2,Value,TotalValue,Share,ShareSquared
2011,28,3386199.959,167015462.698,0.020274769199801458,0.00041106626610521786
2011,29,3263052.144,167015462.698,0.019537425405336883,0.00038171099146910306
2011,30,464.205,167015462.698,2.779413310008204e-06,7.725138347850762e-12
2011,31,3187748.115,167015462.698,0.01908654482348222,0.0003642961932987959
2011,32,28217.725,167015462.698,0.00016895276966674477,2.854503837806411e-08
2011,33,726.006,167015462.698,4.346938829926037e-06,1.8895877191118748e-11
2011,34,128982.98899999999,167015462.698,0.0007722817212034377,5.964190569049443e-07
2011,35,85.021,167015462.698,5.090606499934459e-07,2.591427453717496e-13
2011,37,26.781,167015462.698,1.603504224541522e-07,2.5712257981225078e-14
2011,38,24358.161,167015462.698,0.00014584374767769143,2.1270398736674122e-08
2011,39,1828495.1679999998,167015462.698,0.010948059170463237,0.00011985999959996418
2011,40,1012207.502,167015462.698,0.006060561612970468,3.6730407064611195e-05
2011,41,7063.506,167015462.698,4.229252720613266e-05,1.7886578574814713e-09
2011,42,56.31,167015462.698,3.3715441127640155e-07,1.1367309704313692e-13
2011,43,18341.772,167015462.698,0.00010982080164137785,1.206060847315486e-08
2011,44,10627705.457,167015462.698,0.06363306298301963,0.004049166704600943
2011,47,2393830.2830000003,167015462.698,0.01433298596626686,0.00020543448670920272
2011,48,354140.392,167015462.698,0.002120404819285279,4.496116597648238e-06
2011,49,75184.462,167015462.698,0.0004501646780810333,2.0264823739180035e-07
2011,50,10351.931,167015462.698,6.198187181457878e-05,3.841752433638876e-09
2011,51,5967.393,167015462.698,3.5729583977444855e-05,1.2766031712012842e-09
2011,52,0.879,167015462.698,5.262985748747238e-09,2.769901899151653e-17
2011,53,3062.304,167015462.698,1.8335452002652632e-05,3.361888001415784e-10
2011,54,21004.404,167015462.698,0.00012576322970754206,1.581638994647199e-08
2011,55,8.600999999999999,167015462.698,5.1498225739448227e-08,2.6520672543111677e-15
2011,56,213.383,167015462.698,1.2776242184583982e-06,1.6323236435914327e-12
2011,58,0.003,167015462.698,1.7962408698796035e-11,3.2264812626258348e-22
2011,59,273.927,167015462.698,1.6401295758783672e-06,2.690025025670953e-12
2011,61,0.266,167015462.698,1.5926669046265817e-09,2.5365878690928173e-18
2012, T,35766829.504,171638989.618,0.20838405995981862,0.04342391644533728
2012,01,942302.128,171638989.618,0.005490023741675415,3.014036068415972e-05
2012,03,2795255.7539999997,171638989.618,0.016285668892721435,0.0002652230112833546
2012,04,15.015,171638989.618,8.748012344641161e-08,7.652771998199414e-15
2012,05,15939.704,171638989.618,9.286761729066007e-05,8.624394341244504e-09
2012,06,59805.922,171638989.618,0.00034844018910332755,1.2141056538236267e-07
2012,07,4242.723,171638989.618,2.47188765760193e-05,6.110228591804756e-10
2012,08,87807.206,171638989.618,0.0005115807672570426,2.617148814273044e-07
2012,09,30.989,171638989.618,1.8054755547658003e-07,3.259741978856874e-14
2012,10,2383.181,171638989.618,1.388484635865086e-05,1.9278895840334006e-10
2012,11,4987.3,171638989.618,2.905691772655935e-05,8.44304467768039e-10
2012,12,67674.462,171638989.618,0.0003942837355930397,1.5545966415320204e-07
2012,14,2.337,171638989.618,1.3615787445505423e-08,1.853896677611831e-16
2012,15,7635.753,171638989.618,4.4487287049371146e-05,1.9791187090131457e-09
2012,16,28809.767999999996,171638989.618,0.00016785095312037818,2.8173942463419394e-08
2012,17,11.856,171638989.618,6.907521435768605e-08,4.771385238560277e-15
2012,18,104.93299999999999,171638989.618,6.113587608126745e-07,3.73759534422409e-13
2012,19,147.83100000000002,171638989.618,8.612903182954696e-07,7.418210123895114e-13
2012,20,641.655,171638989.618,3.738398841825324e-06,1.3975625900560924e-11
