Year,Trade_RUS_Exp_to_CHN,Trade_CHN_Exp_to_RUS,CHN_GDP_current_USD,RUS_GDP_current_USD,CHN_GDP_growth_annual_percent,RUS_GDP_growth_annual_percent,CHN_Inflation_consumer_prices_percent,RUS_Inflation_consumer_prices_percent,Diplomatic_Agreement_Score,Oil_Cons_CHN_EJ,Oil_Cons_RUS_EJ,RUS_Export_Dependency_to_CHN_pct,CHN_Export_Dependency_to_RUS_pct,MUV_Index,Energy_Index_Nominal,Metals_Index_Nominal,ToT_Russia_Approx,"Crude oil, average","Crude oil, Brent","Coal, Australian","Natural gas, Europe",Aluminum,Copper,"Iron ore, cfr spot",Nickel,Gold,HHI_RUS_Exports_to_CHN,ECR_Top1,ECR_Top3,ECR_Top5,WITS_RUS_Exports_to_CHN,WITS_RUS_Imports_from_CHN,Trade_Balance_RUS_CHN,Trade_Balance_Ratio
2010,,,6192564874453.29,1524916715223.95,10.5962719761682,4.49999999920672,3.17532475269199,6.84939230255025,0.854651162790698,18.7721653,5.777710915,,,100.0,100.0,100.0,100.0,79.04077178472,79.63562997992,98.96604166667,8.2875,2173.117,7534.77958333333,145.86318542569,21808.8524166667,1224.66425,0.2668854047518399,45.12173602298331,77.17710132457893,83.31034872720191,91.055763063,69.283256659,21.772506404,1.31425350732516
2011,,,7671757207851.29,2045922753398.04,9.4613358870736,4.30002918567749,5.55389892257493,8.4404648593257,0.910526315789474,19.40664101,6.198178291,,,111.0399999999971,135.21507073254,113.49124257509,113.94591090558656,104.00939752553,110.93992536389,121.44833333333,10.515,2401.38666666667,8828.1875,167.75416666667,22910.3566666667,1569.21083333333,0.3482240899953492,54.45469565201467,81.58994811420641,88.42280497467281,167.01546269800002,87.01732859,79.99813410800002,1.9193356703114572
2012,,,8673664713189.24,2208293553878.42,7.85617427055587,4.02408615746921,2.61952432645541,5.07474300799149,0.843023255813954,20.35547829,6.410902023,,,110.23000000000305,134.12247156247,96.12756237208,107.88760581176696,105.00962888488,111.96555833961,96.36416666667,11.47333333333,2023.28319284294,7962.34706281927,128.49592592593,17547.5460485288,1669.51766666667,0.3861041928148018,58.020888450019314,84.1779401367718,90.5303013067286,171.638989618,92.312403743,79.326585875,1.8593274864323448
2013,142501679926.0,198364687852.0,9743124247267.24,2292470078346.22,7.77872409446717,1.75542214874298,2.62105001748115,6.75466833903486,0.84375,21.26689148,6.42608881,6.21607589438202,2.0359453786873085,109.75000000000644,131.65296819687,90.80847565449,105.07077100675284,104.07749749759,108.85637454514,84.5621691909,11.78583333333,1846.66896845003,7332.10047748447,135.36118854173,15031.7973841678,1411.46230174415,0.4052571612424153,59.60338401953533,86.41010212298782,91.4508700798314,168.96909076,95.256579808,73.712510952,1.7738311736635473
2014,149658416482.0,214707776544.0,10674533168257.4,2059241589895.01,7.46190028229434,0.736267221765672,1.92164162788521,7.82016970013845,0.815789473684211,22.11306,6.751941204,7.267647332707101,2.011402027233109,108.25000000000276,120.40235773113,84.79044062036,98.06705855595314,96.235,98.9375,70.13,10.05166666667,1867.42,6863.3975,96.95246212121,16893.3758333333,1265.5775,0.4372242610465841,62.30503810530183,89.39212696121945,92.75019636298924,178.182777159,92.766536221,85.41624093800002,1.920765659876648
2015,113339818280.0,139027509000.0,11280814787468.9,1363482182197.71,6.97878002657477,-1.97271922580408,1.43702380935655,15.5343959935701,0.833333333333333,23.79562378,6.524489403,8.312526541220713,1.2324243560353134,97.87000000000964,66.09910600088,66.93781916701,67.8804447402937,50.75277777778,52.37,58.93916666667,6.82118307834,1664.68083333333,5510.45666666667,55.85416666667,11862.635,1160.66333333333,0.3821443572337976,57.3330695926177,86.17293900941367,90.26913655070084,131.877885882,65.02257204899999,66.855313833,2.0281862394280386
2016,119813506284.28,149358402944.0,11456024084962.0,1276786350881.14,6.77555562837017,0.193690071260534,2.00000182191943,7.04243725413707,0.808035714285714,24.56488228,6.620834351,9.383990219005232,1.3037542679406424,94.03000000000694,56.02388371076,62.96807452078,62.5348931561881,42.81194444444,44.0475,66.12333333333,4.563422844,1604.18166666667,4867.8975,58.42416666667,9595.17916666667,1248.98833333333,0.3631749911086321,55.34639842017112,85.51256724407638,90.5320790724706,137.039752553,77.95923776299999,59.08051479000001,1.7578385382577464
2017,166685397691.44,342644798536.0,12537559062282.9,1574199360089.0,6.8912663621211,1.82579006401834,1.59313600071436,3.68333072334495,0.871900826446281,25.85941887,6.599232674,10.588582483098977,2.732946635256844,97.2900000000066,69.35798926664,78.19971299913,74.92515033367361,52.805,54.3925,88.51833333333,5.71704330393,1967.65416666667,6169.94,71.76,10409.635,1257.55916666667,0.395087657230347,58.1780604927434,88.015127342652,91.41578056545538,187.109268635,94.372875846,92.73639278899998,1.9826593918821496
2018,448159230268.56,383722182320.0,14147765772963.8,1657328773461.31,6.75671800166833,2.80724541059601,2.07479039965576,2.87831382614981,0.865591397849462,27.10346794,6.663055897,27.041057721612177,2.712245795398226,101.86000000000416,89.35813828858,82.51012543675,85.03724047500928,68.3475,71.07166666667,107.0225,7.68167965387,2108.475,6529.79833333333,69.75166666667,13114.0641666667,1269.22666666667,0.445726851673235,62.91004666918521,90.1405363734524,93.19434044508188,262.129292261,94.064993492,168.064298769,2.78668272361379
2019,229285183103.88,397987892080.0,14560167101283.4,1693115002708.32,6.06850235053705,2.19807571335009,2.89923416358227,4.47202631837903,0.873563218390805,28.40943718,6.799408436,13.542209639458257,2.7334019541913053,99.48000000000624,78.25171393644,78.35898702329,78.7038833646714,61.4075,64.03166666667,77.88583333333,4.80235126619,1794.48833333333,6010.145,93.84916666667,13913.9083333333,1392.49833333333,0.4258152605484114,61.13703422573388,88.5477793881118,92.2922579274929,262.139105239,97.355116271,164.78398896800002,2.692607387056099
2020,196585348101.48,404035136424.0,14996414166715.1,1493075894362.14,2.34018843078414,-2.65365450102773,2.41942189457782,3.38219796948068,0.867021276595745,28.65480042,6.536715031,13.166467213340391,2.6942116424122617,97.90000000000094,52.68381369088,79.14750453154,64.62644538012603,41.25777777778,42.3,60.785,3.24202403939,1703.98666666667,6173.77083333333,108.91833333333,13787.2566666667,1770.25416666667,0.3489591136317033,53.92504226976161,82.91753752499335,88.0266583034267,216.079449611,97.061585398,119.017864213,2.226209769034459
2021,274716992309.76,537573782368.0,18201698719564.0,1829186719575.1,8.57008513166322,5.86649177292595,0.981015135544882,6.69445891957612,0.857142857142857,29.42674065,6.949784279,15.018531972152834,2.9534264392047738,109.39999999999496,95.38153611633,116.4444663316,94.88730183038648,69.07055555556,70.44333333333,138.05,16.11587794838,2472.84833333333,9317.05,161.71,18464.9658333333,1799.62916666667,0.4042228574558836,59.17419083846097,86.55736372844072,91.36545834025289,308.876612297,126.246661832,182.629950465,2.4466121148457045
2022,,606645932652.0,18316765021690.2,2291612121334.64,3.1341888719577,-1.43588213859842,1.97357555739051,13.7436797398232,0.798850574712644,29.51421165,7.135511875,,3.311970929002075,117.44999999999908,152.57393833198,115.02407389721,117.11706475783149,97.10138888889,99.82416666667,344.89333333333,40.3401571422,2705.01916666667,8822.36583333333,121.30083333333,25833.725,1800.6025,,,,,,,,
2023,,888052498828.0,18270356654533.2,2071505725030.58,5.41484330099675,4.08252481259281,0.234836828893051,5.86571931748967,0.796511627906977,32.72842026,7.477319241,,4.860619393588348,114.10000000000228,106.95201084625,103.99665409897,92.69927094420322,80.75569444444,82.61625,172.77916666667,13.1134032462,2255.73916666667,8490.29083333333,120.57416666667,21521.115,1942.66583333333,,,,,,,,
2024,,922206891880.0,18743803170827.2,2173835806671.66,4.9773565917572,4.34437475491529,0.218128938439177,8.43486410496723,,32.27059174,7.664769173,,4.920062825431928,115.10000000000444,101.52399194111,106.74162038439,90.01828263980713,78.73372222222,80.69866666667,136.14666666667,10.96230953259,2419.01666666667,9142.14,109.3975,16813.9625,2387.7025,,,,,,,,
