date,CHN_exp_to_RUS_bn,RUS_exp_to_CHN_bn,brent_usd,usd_rub,usd_cny,ln_CHN_exp_to_RUS_bn,ln_RUS_exp_to_CHN_bn,ln_brent_usd,ln_usd_rub,ln_usd_cny
2018-09-01,4.042116544,5.689374611,78.89099999999999,65.5906,6.855084210526316,1.396768451816625,1.73860033190435,4.368067152904464,4.183432392999739,1.9249905974794967
2018-10-01,4.076515889,5.985207209,81.03217391304348,65.7742,6.9191045454545455,1.4052426748195983,1.7892909597974305,4.394846284608912,4.186227664176601,1.9342863603106786
2018-11-01,4.157489653,5.761176899,64.74818181818182,66.6342,6.936674999999999,1.424911443326587,1.7511417765798065,4.170505620157316,4.199217959256913,1.9368225530822185
2018-12-01,4.54467766,5.28222871,57.36235294117647,69.4706,6.883711111111111,1.5139568032221766,1.6643481128239341,4.049388216042381,4.240903641489142,1.9291579122030542
2019-01-01,4.334254351,4.997566135,59.40954545454545,66.0987,6.786345,1.4665495887479232,1.6089510209216629,4.0844549113460475,4.191149079493286,1.9149125050343643
2019-02-01,2.767163983,4.191435516,63.9605,65.757,6.736683333333334,1.0178229628723936,1.4330432805088655,4.158265705321064,4.185966129269325,1.9075677167671206
2019-03-01,3.617198054,4.624543774,66.13857142857144,64.7347,6.711942857142858,1.2856997078988615,1.531377722639343,4.191752108115232,4.170297379221661,1.9038884555921416
2019-04-01,3.738864016,5.269164242,71.23333333333333,64.6917,6.716068181818182,1.3187818262509632,1.6618717621210999,4.265960873656992,4.169632908888219,1.9045028913106024
2019-05-01,3.816653355,5.389545473,71.31772727272727,65.0583,6.851859090909091,1.339373953553131,1.684461053535801,4.267144925868109,4.175283790977412,1.9245200155844941
2019-06-01,3.998013242,5.338824408,64.2205,63.0756,6.897675,1.3857975482288012,1.6750054804212995,4.16232247436759,4.144334006967015,1.93118439829887
2019-07-01,4.562359192,4.798868729,63.9191304347826,63.3791,6.8774727272727265,1.5178398564049704,1.5683802086782725,4.157618697404011,4.149134154098841,1.9282512483085812
2019-08-01,4.492755061,4.99124107,59.041818181818186,66.4897,7.062859090909091,1.5024661129109136,1.6076845902627144,4.078245975580541,4.1970470484475,1.9548499399105006
2019-09-01,4.513169147,5.049755069,62.826666666666675,64.4156,7.113725,1.5069996000893289,1.6193397409229289,4.140379611795113,4.1653558398007435,1.9620260166081638
2019-10-01,4.400058408,5.338534493,59.71304347826087,63.8734,7.096081818181818,1.481617815381564,1.6749511757935802,4.089550480257427,4.1569029992864595,1.9595427751242644
2019-11-01,4.581844027,5.59510296,63.21190476190476,64.0817,7.019894736842106,1.522101543076535,1.7218917437393433,4.1464926498999075,4.160158831746534,1.9487482231734605
2019-12-01,4.926153674,5.606049986,67.21714285714286,61.9057,7.0136761904761915,1.5945584957200685,1.7238463692208612,4.207928317036927,4.125612259457541,1.9478619844812368
2020-01-01,4.448451143,6.111417445,63.64545454545455,63.0359,6.918352380952381,1.4925559778391815,1.8101587340035536,4.153327909184782,4.143704405363491,1.934177646042312
