t,i,j,k,v,q
2017,156,643,151499,0.459,0.27
2017,156,643,151519,22.216,11.679
2017,156,643,151550,629.726,574.709
2017,156,643,151590,186.78,24.134
2017,156,643,151620,3.33,0.104
2017,156,643,151790,530.12,511.788
2017,156,643,151800,2192.83,2083.255
2017,156,643,152000,4.702,1.332
2017,156,643,152110,4.771,0.925
2017,156,643,152190,102.638,12.776
2017,156,643,160300,0.484,0.093
2017,156,643,160411,790.828,94.532
2017,156,643,160413,14.834,5.448
2017,156,643,160414,1234.351,387.77
2017,156,643,160415,415.912,308.622
2017,156,643,160416,3.505,0.6
2017,156,643,160417,67131.019,2955.066
2017,156,643,160419,21889.515,3941.529
2017,156,643,160420,15951.872,1545.775
2017,156,643,160431,1455.086,8.45
2017,156,643,160510,73.319,9.2
2017,156,643,160521,2285.957,305.203
2017,156,643,160529,3769.911,399.151
2017,156,643,160540,767.0,95.391
2017,156,643,160553,2077.63,736.591
2017,156,643,160554,16498.854,1977.609
2017,156,643,160555,168.729,19.901
2017,156,643,160556,69.045,23.262
2017,156,643,160559,22378.407,385.325
2017,156,643,160569,7892.47,770.55
2017,156,643,170191,5.596,3.6
2017,156,643,170199,10.224,17.995
2017,156,643,170219,9.393,4.745
2017,156,643,170230,9914.853,22924.738
2017,156,643,170240,0.06,0.025
2017,156,643,170250,2153.999,2571.973
2017,156,643,170260,157.819,42.84
2017,156,643,170290,11775.561,24288.725
2017,156,643,170410,1196.536,730.362
2017,156,643,170490,13220.671,5845.616
2017,156,643,180310,14.916,4.0
2017,156,643,180320,236.618,157.414
2017,156,643,180400,7404.816,1163.043
2017,156,643,180500,613.228,412.602
2017,156,643,180610,41.116,10.124
2017,156,643,180620,70.03,7.174
2017,156,643,180631,38.4,12.8
2017,156,643,180632,3.212,0.643
2017,156,643,180690,1210.952,392.673
2017,156,643,190120,73.582,29.463
2017,156,643,190190,961.272,360.002
2017,156,643,190211,483.29,454.149
2017,156,643,190219,8603.576,6707.222
2017,156,643,190220,74.126,20.032
2017,156,643,190230,6236.629,2148.766
2017,156,643,190300,22.731,15.5
2017,156,643,190410,194.338,31.713
2017,156,643,190420,34.012,21.12
2017,156,643,190490,193.955,49.128
2017,156,643,190520,98.272,46.777
2017,156,643,190531,1746.074,1495.363
2017,156,643,190532,12.309,4.764
2017,156,643,190540,448.345,363.705
2017,156,643,190590,1786.649,650.301
2017,156,643,200190,10231.281,27386.613
2017,156,643,200210,118.901,139.428
2017,156,643,200290,56236.659,78857.868
2017,156,643,200310,29722.138,28353.527
2017,156,643,200390,9578.36,7599.595
2017,156,643,200490,1292.83,338.154
2017,156,643,200520,59.226,32.509
2017,156,643,200540,1956.912,3827.367
2017,156,643,200551,2412.002,1680.611
2017,156,643,200559,264.637,422.923
2017,156,643,200560,3.269,1.487
2017,156,643,200570,4.226,3.522
2017,156,643,200580,10377.855,7383.012
2017,156,643,200591,31.647,51.897
2017,156,643,200599,14477.972,2285.657
2017,156,643,200600,7961.55,661.319
2017,156,643,200791,5.896,6.432
2017,156,643,200799,1441.463,1829.316
2017,156,643,200811,11889.396,3407.186
2017,156,643,200819,1307.054,238.963
2017,156,643,200820,202.224,154.635
2017,156,643,200830,1471.504,2226.611
2017,156,643,200840,920.792,1371.9
2017,156,643,200850,1454.225,2048.948
2017,156,643,200860,1570.901,1796.387
2017,156,643,200870,10467.92,13933.788
2017,156,643,200880,1884.992,1990.683
2017,156,643,200897,327.241,440.173
2017,156,643,200899,27736.451,4201.31
2017,156,643,200912,256.372,21.712
2017,156,643,200919,9.846,5.475
2017,156,643,200921,0.198,0.122
2017,156,643,200931,0.268,0.439
2017,156,643,200941,0.463,0.362
2017,156,643,200949,450.113,200.0
2017,156,643,200961,1.522,1.078
2017,156,643,200971,0.959,0.647
2017,156,643,200979,50168.224,52565.906
2017,156,643,200989,10083.381,8362.18
2017,156,643,200990,3.166,2.364
2017,156,643,210111,7386.435,1029.112
2017,156,643,210112,974.818,334.22
2017,156,643,210120,201.757,29.979
2017,156,643,210210,1997.933,998.246
2017,156,643,210220,166.61,116.119
